PK,Description
"4500","We are the opposite of the AfD. In times where the parliament pivots rightwards, where sexism and racism are back on the agenda, it's The Greens job to hold up high the left-liberal, emancipatory flag. If we can position ourselves as the primary voice for progressives, the media will focus on our values. And this is only the beginning."
"4501","We need to put climate change into the center of every politic. We support „<span class='mytooltip'>Fridays For Future<span class='mytooltiptext'>An international grassroots movement since 2018, advocating for students to skip school or Uni and protest for climate action instead. Originated in Greta Thunberg’s “Skolstrejk För Klimatet” in Sweden.</span></span>“ – they want an awakening, because they know, this is about the future of all of us. Let's stand with them in the streets, protesting for a cleaner and safer tomorrow. And this is only the beginning."
"4502","We aren't just firmly situated in the leftist camp - we need to become the leading party of the center-left. The SPD is weak, if we can position ourselves as the more credible option for disappointed Social Democrats, especially on social policy, we will supersede them as the party of the left spectrum. And this is only the beginning."
"4503","We need a fresh breath of air after these 14 years of Merkel and <span class='mytooltip'>GroKo<span class='mytooltiptext'>Abbr.“Große Koalition” - “Grand coalition”, consisting of Germany’s traditional two major parties, the SPD and the CDU/CSU. Has governed from 1966-1969, 2005-2009 and 2013-2021.</span></span>'s. The progressive, modern center is getting more and more carved out – all the more important it becomes to do optimistic politics. It's now our job to make a political and societal offer, as an alternative to the status quo. And this is only the beginning."
"4000","Two years ago, I deleted my social media accounts. However, in this day and age, you need social media for a successful election campaign. I will reactivate them and start posting!"
"4001","If I want to become chancellor, I have to have a clean presentation, and can’t afford any sloppiness. I’ll make sure things like my finances are in order and my team will check if there are any problems with my website, or other stuff on the internet."
"4002","I want to get out there, go to talk shows, give interviews, and generally make sure the German people know me. This should improve both my name recognition and my favorability ratings."
"4003","Friday for Future is capable of mobilizing a massive amount of people. We need to restart the “climate summer” and focus media attention on the environmentalist movement. I will visit some demonstrations and meet with the <span class='mytooltip'>FFF<span class='mytooltiptext'>‘Fridays For Future’, an international grassroots movement since 2018, advocating for students to skip school or Uni and protest for climate action instead. Originated in Greta Thunberg’s “Skolstrejk För Klimatet” in Sweden.</span></span>-leadership to get them on our side."
"4004","Overall, we support the government’s policies. I will criticize their chaotic response, but we can not endanger societal cohesion: in contrast to the AfD, we’ll make it clear that we broadly stand behind all necessary measures."
"4005","Since the beginning of the pandemic, there hasn’t been enough of a focus on children and families. We need to build the circumstances to return to regular schooling, we need tests in daycares and schools, as well as fight the lack of teachers. There has to be an educational package for all kids in this country."
"4006","While the lockdowns were absolutely necessary at the beginning of the pandemic, we should be mindful - there has to be a balance between freedom and safety. The curfews, for example, are a strong restriction of a basic right that might not be proportional - we always have to see if we can use milder methods."
"4007","We support measures to combat Covid and to rebuild our economy. Most importantly though, this was the first time that healthcare was more important than profit interests and growth. The lesson here is that we need to design our economy around common interests, including environmental protection. The time of small compromises is over."
"4008","I want to establish a new style of governance in Germany. The Greens are offering up a new idea of politics. We need to be radical and stately: to be consistent and progressive, but also to listen to every argument. I offer you change, through this new kind of politics, and will use my government experience to lead Germany into a new age."
"4009","We need a livable future for our country. We need the whole arsenal of politics, not just a higher price for Co², to fulfill this gigantic transformatory task of stopping climate change. We have to become completely climate neutral over the next 20 years. If we protect the climate, we're protecting ourselves: and I am running to do just that."
"4010","Through elections, a country decides its future. Eight years of Grand coalition and sixteen years of CDU chancellorship haven’t given us answers for our future - and a lack of answers is evident of a lack of responsibility. This can not continue: a Green chancellor candidacy offers Germany a new future, away from the politics of standstill."
"4011","The Greens are the new center. We need changes instead of promises, to continue our fight for an open and tolerant society, but this society has to serve the broad masses. It is cohesion and solidarity that’s at the center of our “politics of partnership”. The change we need is only possible with majorities of the German people, through workable compromises."
"4012","It’s clear that the SPD is not going to win this election, and we need it to stay that way. I want to present myself as the main candidate of the left-of-center and try to coalesce left-wing voters around the Greens. If we can make this a one-on-one against Söder, I’m sure our appeal to change will win over the status quo."
"4013","Traditionally, the Greens have been left of center. However, these are exceptional circumstances. We need to draw votes from our main competitor, the Union - Markus Söder is a strong candidate, and he needs to be taken down a notch if we want to compete with him over centrists. We might have to amend our rhetoric on some topics to do this."
"4014","Our base is largely young, urban, and well-off - with the right strategy, we can generate an enthusiasm unseen in past Federal Elections. They are frustrated, and we have actual credentials for them. We will put more resources into mobilization efforts to get the youth to turn out this election. Maybe we can get a <span class='mytooltip'>Rezo<span class='mytooltiptext'>German Youtuber. Usually a musician and entertainer, but in 2019 he became known for the video “The Destruction of the CDU”. It contained a blistering critique of the CDU’s climate policies, well researched and thoroughly sourced. It got unprecedented good reviews from journalists. Some say it had a tangible effect on the European elections that year.</span></span>-endorsement?"
"4015","Our polling numbers in West Germany are great, but we are struggling to even get to 10% in many East German states. East Germany has been neglected by the status quo for a long time, and we might be able to present our ideas of change to an untapped voter potential there."
