PK,Description,opportunism,laschetMean,merkelPoints,bavariaPoints
4000,"I will offer my congratulations to Armin Laschet, for winning the leadership competition. Together, we will keep writing the success story of the CDU/CSU. I’m looking forward to a close cooperation.",-1,-1,,
4001,"Publicly, I of course want to congratulate him for winning the leadership election, to not rock any boats in the partnership of our parties. However, I’m worried that a guy like him will lose us the election in the fall. Behind the scenes, I will prepare my strike for what really counts: the chancellor candidacy.",2,,,
4002,"Of course I will congratulate him. However, I want to make it clear that him being party leader does not automatically make him chancellor candidate. I’ll make some remarks that we will have to sort this question out later.",3,1,,
4003,"First, I want to congratulate him publicly. At the same time, let’s reach out to some of the people who supported his opponents in the leadership election and start convincing them that I am the better chancellor candidate. I know that <span class='mytooltip'>Norbert Röttgen<span class='mytooltiptext'>Once a prominent CDU politician and Minister of the Environment (2009-2012): humiliatingly fired after his defeat as the CDU candidate for the North Rhine-Westphalian elections. In 2020 he tried for a comeback, but ended up as a third wheel behind Laschet and Merz.</span></span> made some veiled overtures to me..",1,,,
4004,"I’m already quite well known among the German people, but it’s time to give my profile a boost, so that people think of me instead of him when talking about Christian Democracy. Let’s go to every talk show that wants to have me and make sure people see my face constantly.",-1,,,
4005,"My polling is better than Laschets, but the chancellor candidacy isn’t a popularity contest: it’s about connections. I will speak with as many CDU functionaries as I can in the coming weeks, to start getting them on my side. I know our youth organization <span class='mytooltip'>JU<span class='mytooltiptext'>“Junge Union”, “Young Union”. The youth organization of the CDU/CSU. Usually considered quite unadventurous.</span></span> is quite receptive to me.",1,,,
4006,"I’m already the darling of our party base. The CDU leadership will have to acknowledge this, and pick me over Laschet. Right now, I want to start focusing on the general election and attack the SPD and the Greens whenever an opportunity presents itself. As someone not intricately involved in Merkel's administration, I‘m able to make a good attack dog.",-2,,,
4007,"It would probably backfire if I were to personally attack the CDU, so I will do nothing of the sort. However, I’m sure there are plenty of CSU politicians who can find things to be critical of. I will talk to my party behind the scenes to lead the push against Laschet as the Unions candidate.",2,1,,1
4008,"I’ve been known as a lockdown hardliner in the past. However, it’s clear people are starting to grumble - the situation in Bavaria is quite good compared to other states, so we should be able to loosen up our measures and open up fairly quickly. We’re a Free State, not a Constraint State.",1,,,
4009,"The situation is still very volatile, so I will keep doing what I’ve been doing for the whole pandemic so far and stay on a hard line against Covid. There will be no premature openings in Bavaria.",-1,,,1
4010,"Throughout the pandemic, people have looked to me for leadership even outside of Bavaria and I have to maintain my outsized role in this discourse. I will call for whatever seems more popular at the moment: Bavaria as the land of Caution, Bavaria as the land of Proportionality, Bavaria as the land of Freedom… any way the wind blows.",2,,,1
4011,"I support Armin Laschet's proposal of a <span class='mytooltip'>bridge lockdown<span class='mytooltiptext'>Proposal by Armin Laschet. The goal is to generally open up, but to have a short term, harsh lockdown in April, to bridge the time until more people are vaccinated and more tests are available.</span></span> over Easter, until enough people are vaccinated. I’ve always been in support of measures like this, and so has the chancellor.",-2,-1,,
4012,"Under no circumstances will we raise taxes, but we don’t want to dramatically lower them either. We will phase out the extra tax of the <span class='mytooltip'>Soli<span class='mytooltiptext'>Solidaritätszuschlag. An extra tax levelled since 1995 to help East Germany in its post-reunification development.</span></span> and try to reduce the burden on small and medium-income earners while always keeping the budget balanced, in keeping with the “<span class='mytooltip'>Black Zero<span class='mytooltiptext'>“Schwarze Null” in German; economic principle that forbids new debts while promising a balanced budget.</span></span>”.",,,,
4013,"The Covid crisis has left a massive hole in our budget that we have to plug somehow. We have to be measured, but a tax increase will likely be unavoidable to avoid harsh debts that can hurt our economy even further.",-1,,,
